track,quarter_region,activity,available_quarters,year,selected_route_id,selected_basis,baseline_predicted_eok,selected_predicted_eok,official_annual_eok,baseline_error_eok,selected_error_eok,baseline_abs_error_eok,selected_abs_error_eok,baseline_ape_pct,selected_ape_pct,target_candidate_ape_pct_if_adopted
prior_year_province_anchor,충북,운수 및 창고업,4,2021,baseline,no_prior_positive_route,19335.878709694356,19335.878709694356,20213.86,-877.9812903056445,-877.9812903056445,877.9812903056445,877.9812903056445,4.343461814347405,4.343461814347405,
prior_year_province_anchor,충북,운수 및 창고업,4,2023,baseline,no_prior_positive_route,26425.926455189132,26425.926455189132,25037.32,1388.6064551891322,1388.6064551891322,1388.6064551891322,1388.6064551891322,5.5461465332117506,5.5461465332117506,
prior_year_province_anchor,충북,운수 및 창고업,4,2024,baseline,no_prior_positive_route,27318.30031351249,27318.30031351249,29500.47,-2182.169686487512,-2182.169686487512,2182.169686487512,2182.169686487512,7.397067526339452,7.397067526339452,
prior_year_province_anchor,충북,운수 및 창고업,4,2025,baseline,no_prior_positive_route,30161.455627938827,30161.455627938827,29859.82,301.6356279388274,301.6356279388274,301.6356279388274,301.6356279388274,1.010172291523617,1.0101722915236173,
prior_year_province_anchor,충북,정보통신업,1,2021,baseline,no_prior_positive_route,9103.615550310453,9103.615550310453,9846.41,-742.794449689547,-742.794449689547,742.794449689547,742.794449689547,7.543809872730741,7.543809872730741,
prior_year_province_anchor,충북,정보통신업,1,2022,baseline,no_prior_positive_route,10153.889435906687,10153.889435906687,9872.25,281.63943590668714,281.63943590668714,281.63943590668714,281.63943590668714,2.852839382174146,2.852839382174146,
prior_year_province_anchor,충북,정보통신업,1,2023,baseline,no_prior_positive_route,10515.551830290002,10515.551830290002,9679.17,836.3818302900017,836.3818302900017,836.3818302900017,836.3818302900017,8.641049080551348,8.641049080551348,
prior_year_province_anchor,충북,정보통신업,1,2024,regional_service_production_index_J,prior_positive_improvement_130.306_eok,9921.141123749543,9819.447826086956,9667.86,253.28112374954253,151.58782608695583,253.28112374954253,151.58782608695583,2.619826143009337,1.5679563635277696,1.5679563635277696
prior_year_province_anchor,충북,정보통신업,2,2021,baseline,no_prior_positive_route,9225.400179217251,9225.400179217251,9846.41,-621.0098207827468,-621.0098207827468,621.0098207827468,621.0098207827468,6.306966912638686,6.306966912638686,
prior_year_province_anchor,충북,정보통신업,2,2022,baseline,no_prior_positive_route,10204.02169862918,10204.02169862918,9872.25,331.7716986291798,331.7716986291798,331.7716986291798,331.7716986291798,3.360649280854717,3.360649280854717,
prior_year_province_anchor,충북,정보통신업,2,2023,baseline,no_prior_positive_route,10236.434398086452,10236.434398086452,9679.17,557.2643980864523,557.2643980864523,557.2643980864523,557.2643980864523,5.757357274295753,5.757357274295753,
prior_year_province_anchor,충북,정보통신업,2,2024,regional_service_production_index_J,prior_positive_improvement_76.328_eok,9787.314209137166,9832.88155437921,9667.86,119.45420913716588,165.0215543792092,119.45420913716588,165.0215543792092,1.2355806676675696,1.7069088131107524,1.7069088131107524
prior_year_province_anchor,충북,정보통신업,3,2021,baseline,no_prior_positive_route,9388.662878017176,9388.662878017176,9846.41,-457.747121982824,-457.747121982824,457.747121982824,457.747121982824,4.64887326429454,4.64887326429454,
prior_year_province_anchor,충북,정보통신업,3,2022,baseline,no_prior_positive_route,10177.643590788148,10177.643590788148,9872.25,305.3935907881478,305.3935907881478,305.3935907881478,305.3935907881478,3.0934547928602676,3.0934547928602676,
prior_year_province_anchor,충북,정보통신업,3,2023,baseline,no_prior_positive_route,10252.344133924516,10252.344133924516,9679.17,573.1741339245164,573.1741339245164,573.1741339245164,573.1741339245164,5.921728143265552,5.921728143265552,
prior_year_province_anchor,충북,정보통신업,3,2024,regional_service_production_index_J,prior_positive_improvement_111.187_eok,9742.828683086833,9854.205751903552,9667.86,74.96868308683224,186.345751903551,74.96868308683224,186.345751903551,0.7754423738741795,1.9274767311850916,1.9274767311850916
prior_year_province_anchor,충북,정보통신업,4,2021,baseline,no_prior_positive_route,9466.908242139438,9466.908242139438,9846.41,-379.50175786056207,-379.50175786056207,379.50175786056207,379.50175786056207,3.854214458473313,3.8542144584733125,
prior_year_province_anchor,충북,정보통신업,4,2022,baseline,no_prior_positive_route,10075.745382274135,10075.745382274135,9872.25,203.4953822741354,203.4953822741354,203.4953822741354,203.4953822741354,2.061286761114593,2.061286761114593,
