quarter_region,province_full,table_id,table_name,year,city,activity_group,annual_gva_eok,latest_change_date
서울,서울특별시,201_DT_201012_D040031,서울특별시 경제활동별 지역내총부가가치 및 요소소득,2019,관악구,건설업,3625.9,2025-10-29
서울,서울특별시,201_DT_201012_D040031,서울특별시 경제활동별 지역내총부가가치 및 요소소득,2019,관악구,"공공 행정, 국방·사회보장",2043.68,2025-10-29
서울,서울특별시,201_DT_201012_D040031,서울특별시 경제활동별 지역내총부가가치 및 요소소득,2019,관악구,"광업, 제조업",1711.34,2025-10-29
서울,서울특별시,201_DT_201012_D040031,서울특별시 경제활동별 지역내총부가가치 및 요소소득,2019,관악구,교육 서비스업,5003.76,2025-10-29
서울,서울특별시,201_DT_201012_D040031,서울특별시 경제활동별 지역내총부가가치 및 요소소득,2019,관악구,금융 및 보험업,1544.76,2025-10-29
서울,서울특별시,201_DT_201012_D040031,서울특별시 경제활동별 지역내총부가가치 및 요소소득,2019,관악구,도매 및 소매업,5621.54,2025-10-29
서울,서울특별시,201_DT_201012_D040031,서울특별시 경제활동별 지역내총부가가치 및 요소소득,2019,관악구,문화 및 기타서비스업,3379.93,2025-10-29
서울,서울특별시,201_DT_201012_D040031,서울특별시 경제활동별 지역내총부가가치 및 요소소득,2019,관악구,보건 및 사회복지업,5255.08,2025-10-29
서울,서울특별시,201_DT_201012_D040031,서울특별시 경제활동별 지역내총부가가치 및 요소소득,2019,관악구,부동산업,9750.42,2025-10-29
서울,서울특별시,201_DT_201012_D040031,서울특별시 경제활동별 지역내총부가가치 및 요소소득,2019,관악구,사업서비스업,4409.05,2025-10-29
서울,서울특별시,201_DT_201012_D040031,서울특별시 경제활동별 지역내총부가가치 및 요소소득,2019,관악구,숙박 및 음식점업,4138.26,2025-10-29
서울,서울특별시,201_DT_201012_D040031,서울특별시 경제활동별 지역내총부가가치 및 요소소득,2019,관악구,운수 및 창고업,1374.57,2025-10-29
