track,quarter_region,year,available_quarters,operating_label,predicted_cumulative_grdp_eok,official_cumulative_grdp_eok,cumulative_error_eok,cumulative_ape_pct,annualized_predicted_grdp_eok,official_annual_grdp_eok,annualized_error_eok,annualized_ape_pct,baseline_main_pred,selected_main_pred,adopted_main_rows,routed_annualized_predicted_grdp_eok,routed_annualized_error_eok,routed_annualized_ape_pct
prior_year_province_anchor,충북,2022,1,1분기+1개월,196287.57178819372,200579.54,-4291.968211806292,2.139783654806613,833378.0588119512,835831.54,-2453.4811880488414,0.293537760976194,751092.809515185,751092.809515185,0.0,833378.0588119512,-2453.4811880488414,0.293537760976194
prior_year_province_anchor,충북,2022,2,1~2분기+1개월,403889.30516682874,417888.29,-13998.9848331713,3.3499346998144643,830018.7097682288,835831.54,-5812.830231771222,0.6954547601507383,748458.1896801463,753598.9018885884,1.0,835159.421976671,-672.1180233290652,0.08041309655879522
prior_year_province_anchor,충북,2022,3,1~3분기+1개월,611671.0623191001,628756.72,-17085.657680899836,2.717371781076127,830763.6060814757,835831.54,-5067.933918524301,0.6063343719386685,748787.1536210618,756589.5227087715,1.0,838565.9751691854,2734.4351691853954,0.32715146992244337
prior_year_province_anchor,충북,2022,4,공표 후 정밀화,823449.6532709533,835831.54,-12381.886729046702,1.48138543910974,823449.6532709533,835831.54,-12381.886729046702,1.48138543910974,741914.7982137459,749018.7773134293,1.0,830553.6323706367,-5277.907629363355,0.631455906696624
prior_year_province_anchor,충북,2023,1,1분기+1개월,198494.023133457,195971.39,2522.633133456984,1.2872456196065067,836636.0010043168,829573.51,7062.491004316835,0.8513399860510051,389236.05057771684,389236.05057771684,0.0,836636.0010043168,7062.491004316835,0.8513399860510051
prior_year_province_anchor,충북,2023,2,1~2분기+1개월,411141.679066657,410610.15,531.529066656949,0.1294485941608966,839877.0758313802,829573.51,10303.565831380198,1.2420316834104548,384670.3358924701,382177.1277038967,1.0,837383.8676428068,7810.357642806834,0.9414907236860581
prior_year_province_anchor,충북,2023,3,1~3분기+1개월,624989.0687162465,615568.54,9420.52871624648,1.5303785206837377,842739.4076515266,829573.51,13165.897651526611,1.5870682335947073,383670.81832788145,378990.2623311804,1.0,838058.8516548255,8485.34165482549,1.0228559075886463
prior_year_province_anchor,충북,2023,4,공표 후 정밀화,847319.0828880136,829573.51,17745.572888013558,2.1391200025195545,847319.0828880136,829573.51,17745.572888013558,2.1391200025195545,380498.8112165071,380498.8112165071,0.0,847319.0828880136,17745.572888013558,2.1391200025195545
prior_year_province_anchor,충북,2024,1,1분기+1개월,203628.9756022226,193315.96,10313.015602222617,5.3347978109115335,871861.6140270142,817464.49,54397.12402701424,6.65437149777775,784798.3085060616,733662.2947688829,1.0,820725.6002898356,3261.110289835604,0.3989299021215716
prior_year_province_anchor,충북,2024,2,1~2분기+1개월,417308.7285949191,400243.85,17064.878594919108,4.263620439119578,861286.20020631,817464.49,43821.71020631003,5.360686701670678,776374.1378554865,722002.6369925382,1.0,806914.6993433618,-10549.790656638215,1.2905503279583699
prior_year_province_anchor,충북,2024,3,1~3분기+1개월,630862.0874973808,607947.95,22914.13749738084,3.769095281492576,856289.4818475227,817464.49,38824.99184752267,4.7494407796872835,771260.0044626084,725483.2420957078,1.0,810512.7194806221,-6951.770519377897,0.8504064218591191
prior_year_province_anchor,충북,2024,4,공표 후 정밀화,850780.8083452506,817464.49,33316.31834525056,4.075567654963283,850780.8083452506,817464.49,33316.31834525056,4.075567654963283,766360.1099706296,725769.7978291165,2.0,810190.4962037374,-7273.993796262541,0.8898238254070878
prior_year_province_anchor,충북,2025,1,1분기+1개월,195674.8180994186,196701.99,-1027.171900581394,0.5221970050132151,818912.8933914974,853932.46,-35019.56660850253,4.1009761601640635,733316.9532514473,742568.4525545243,1.0,828164.3926945744,-25768.06730542553,3.0175767420090263
prior_year_province_anchor,충북,2025,2,1~2분기+1개월,402196.0934305945,416647.64,-14451.546569405533,3.4685295635913196,821325.9246886363,853932.46,-32606.535311363637,3.81839745398174,736794.4994677682,736794.4994677682,0.0,821325.9246886363,-32606.535311363637,3.8183974539817402
prior_year_province_anchor,충북,2025,3,1~3분기+1개월,611605.1661218149,632438.14,-20832.97387818515,3.2940729789296306,825909.5092074655,853932.46,-28022.95079253451,3.2816355045848136,740879.7013378657,740879.7013378657,0.0,825909.5092074655,-28022.95079253451,3.2816355045848136
prior_year_province_anchor,충북,2025,4,공표 후 정밀화,825454.7159814626,853932.46,-28477.74401853734,3.334894192748844,825454.7159814626,853932.46,-28477.74401853734,3.334894192748844,740628.1425776472,740628.1425776472,0.0,825454.7159814626,-28477.74401853734,3.334894192748844
prior_year_province_anchor,세종,2021,1,1분기+1개월,35124.72133195703,37007.72,-1882.998668042972,5.0881239591171035,146335.1781858054,150407.63,-4072.451814194618,2.7076098560921524,88099.95272440728,89162.14887410439,1.0,147397.3743355025,-3010.2556644974975,2.0013982432257578
prior_year_province_anchor,세종,2021,2,1~2분기+1개월,71877.50839667194,74996.08,-3118.5716033280623,4.158312812253737,147909.2627648739,150407.63,-2498.3672351260902,1.661064159528403,88236.83133719198,92243.9157734092,1.0,151916.34720109112,1508.7172010911163,1.0030855489785433
prior_year_province_anchor,세종,2021,3,1~3분기+1개월,107858.399214427,111361.66,-3503.260785573002,3.1458410242564647,146782.46469564136,150407.63,-3625.165304358641,2.410226997366185,87405.47635381561,91599.3005232558,1.0,150976.28886508156,568.6588650815538,0.3780784692116708
prior_year_province_anchor,세종,2021,4,공표 후 정밀화,145606.91664073692,150407.63,-4800.713359263085,3.191801745206068,145606.91664073692,150407.63,-4800.713359263085,3.191801745206068,86568.78558136073,90841.78884749999,1.0,149879.91990687617,-527.7100931238383,0.3508532732839672
prior_year_province_anchor,세종,2022,1,1분기+1개월,37402.47831981339,37888.74,-486.26168018660974,1.28339364198073,158596.8172970951,153748.2,4848.617297095101,3.153609146055109,110855.4909457996,108905.84234603176,1.0,156647.16869732726,2898.9686973272474,1.8855301703221548
prior_year_province_anchor,세종,2022,2,1~2분기+1개월,76245.04802317474,76618.76,-373.7119768252596,0.4877551879268989,156744.00472458338,153748.2,2995.804724583373,1.9485136896453896,109220.38951207609,109220.38951207609,0.0,156744.00472458338,2995.804724583373,1.9485136896453898
prior_year_province_anchor,세종,2022,3,1~3분기+1개월,114520.11981666429,114009.54,510.5798166642926,0.4478395550620523,155765.690866525,153748.2,2017.4908665249825,1.312204543874323,108156.37652564074,108156.37652564074,0.0,155765.690866525,2017.4908665249823,1.312204543874323
prior_year_province_anchor,세종,2022,4,공표 후 정밀화,154029.580144324,153748.2,281.38014432397904,0.1830136185815372,154029.580144324,153748.2,281.38014432397904,0.1830136185815372,107002.49585036046,107002.49585036046,0.0,154029.580144324,281.38014432397904,0.18301361858153722
prior_year_province_anchor,세종,2023,1,1분기+1개월,37761.01871738866,37955.72,-194.70128261134232,0.5129695408527155,159470.64546082306,155240.74,4229.905460823065,2.724739305431722,114030.89532203521,110941.66083692998,2.0,156381.41097571782,1140.6709757178323,0.734775533611752
prior_year_province_anchor,세종,2023,2,1~2분기+1개월,77028.24314932225,77643.97,-615.7268506777473,0.7930130964165629,157936.8511818891,155240.74,2696.1111818891077,1.7367291484755278,111713.71929412513,108425.14332391258,2.0,154648.27521167655,-592.4647883234429,0.3816425948004647
prior_year_province_anchor,세종,2023,3,1~3분기+1개월,115841.2721870633,115439.11,402.1621870632953,0.3483760287681491,156955.747467499,155240.74,1715.0074674990028,1.104740590323779,110378.76620320368,110378.76620320368,0.0,156955.747467499,1715.0074674990028,1.104740590323779
prior_year_province_anchor,세종,2023,4,공표 후 정밀화,156041.4838443782,155240.74,800.7438443782157,0.5158077991500272,156041.4838443782,155240.74,800.7438443782157,0.5158077991500272,108733.0601814602,108733.0601814602,0.0,156041.4838443782,800.7438443782157,0.5158077991500272
prior_year_province_anchor,세종,2024,1,1분기+1개월,38899.81905998361,39202.91,-303.0909400163946,0.773133780161714,164220.6581142784,156016.03,8204.6281142784,5.258836617159403,115782.19819827752,103616.23893266584,2.0,152054.69884866674,-3961.331151333259,2.5390539365302778
prior_year_province_anchor,세종,2024,2,1~2분기+1개월,78830.2963050031,78537.29000000001,293.0063050030876,0.3730792149857572,161825.22624139048,156016.03,5809.196241390484,3.723461134981119,114182.71303480581,112759.58987329772,1.0,160402.1030798824,4386.073079882393,2.8112964288877196
prior_year_province_anchor,세종,2024,3,1~3분기+1개월,117959.23349216886,116848.25,1110.9834921688598,0.950791725309416,159913.30927482905,156016.03,3897.279274829052,2.4979992599664613,112522.08131510635,109680.21864048262,1.0,157071.44660020532,1055.4166002053244,0.6764795900814322
prior_year_province_anchor,세종,2024,4,공표 후 정밀화,158213.30424770436,156016.03,2197.274247704365,1.408364414672239,158213.30424770436,156016.03,2197.274247704365,1.408364414672239,111145.36402543627,108845.26919620995,1.0,155913.20941847804,-102.82058152195532,0.06590385713695915
prior_year_province_anchor,세종,2025,1,1분기+1개월,38496.32332560615,39703.29,-1206.9666743938506,3.039966396723925,159404.09814349443,156621.21,2782.888143494434,1.7768271254541033,0.0,0.0,0.0,159404.09814349443,2782.888143494434,1.7768271254541033
prior_year_province_anchor,세종,2025,2,1~2분기+1개월,77987.96984065147,79158.0,-1170.0301593485349,1.4780946453277428,158723.27354942198,156621.21,2102.0635494219896,1.3421321093241392,0.0,0.0,0.0,158723.27354942198,2102.0635494219896,1.3421321093241392
prior_year_province_anchor,세종,2025,3,1~3분기+1개월,117240.76438082191,117418.25,-177.48561917807092,0.1511567572997135,158249.43700099387,156621.21,1628.2270009938802,1.039595467940696,0.0,0.0,0.0,158249.43700099387,1628.2270009938802,1.039595467940696
prior_year_province_anchor,세종,2025,4,공표 후 정밀화,157459.94486675988,156621.21,838.7348667598853,0.535518060906237,157459.94486675988,156621.21,838.7348667598853,0.535518060906237,0.0,0.0,0.0,157459.94486675988,838.7348667598853,0.535518060906237
recursive_no_target_actual,대구,2021,1,1분기+1개월,155631.8344272185,157693.94,-2062.1055727814964,1.307663168782197,642693.9661578045,656470.1599999999,-13776.19384219544,2.0985255205195377,587175.363738628,589384.4416344445,1.0,644903.044053621,-11567.115946378908,1.7620170193842335
