track,route_id,activity,available_quarters,rows,baseline_abs_error_sum_eok,candidate_abs_error_sum_eok,official_sum_eok,improved_rows,baseline_wape_pct,candidate_wape_pct,delta_wape_pp,adopt_route
prior_year_province_anchor,regional_service_production_index_H,운수 및 창고업,1,24,110690.37031817548,102917.42516044885,1026507.16,6,10.783204894369707,10.025982201668116,-0.7572226927015908,True
prior_year_province_anchor,regional_service_production_index_H,운수 및 창고업,2,24,97819.62127518746,69513.68528440385,1026507.16,9,9.529365706049967,6.771865603392757,-2.75750010265721,True
prior_year_province_anchor,regional_service_production_index_H,운수 및 창고업,3,24,93426.71604911167,54618.823470510666,1026507.16,11,9.101418839505383,5.320841938453762,-3.780576901051621,True
prior_year_province_anchor,regional_service_production_index_H,운수 및 창고업,4,24,90501.24817192002,52500.06132113614,1026507.16,8,8.8164263921861,5.114436933994317,-3.7019894581917834,True
prior_year_province_anchor,regional_service_production_index_I,숙박 및 음식점업,1,19,22231.84899370373,21781.64209402942,261051.91,9,8.516256017319977,8.343797252442787,-0.1724587648771898,True
prior_year_province_anchor,regional_service_production_index_I,숙박 및 음식점업,2,19,10915.58565648322,11394.954891627818,261051.91,8,4.181385095586245,4.365014947267698,0.1836298516814523,False
prior_year_province_anchor,regional_service_production_index_I,숙박 및 음식점업,3,19,6080.397329457033,8938.200527679792,261051.91,5,2.3291908990273362,3.4239169242928704,1.0947260252655342,False
prior_year_province_anchor,regional_service_production_index_I,숙박 및 음식점업,4,19,5422.564927890678,4990.6724781323555,261051.91,12,2.0771979518903647,1.911754822300421,-0.16544312958994367,True
prior_year_province_anchor,regional_service_production_index_J,정보통신업,1,24,14082.934537818568,20393.81009574708,286187.54,6,4.920876198110711,7.12603004859928,2.2051538504885695,False
prior_year_province_anchor,regional_service_production_index_J,정보통신업,2,24,12017.37893050785,14140.629592343419,286187.54,8,4.199127233319749,4.941036074576629,0.7419088412568797,False
prior_year_province_anchor,regional_service_production_index_J,정보통신업,3,24,11663.337033986929,12388.76410705556,286187.54,13,4.07541748113385,4.32889709560925,0.2534796144753999,False
prior_year_province_anchor,regional_service_production_index_J,정보통신업,4,24,11723.268398313312,9145.935226960099,286187.54,15,4.096358771703797,3.1957838649998878,-0.9005749067039095,True
prior_year_province_anchor,regional_service_production_index_K,금융 및 보험업,1,24,13733.200683709409,26301.037460702635,606726.34,9,2.26349175539493,4.334909452044333,2.0714176966494033,False
prior_year_province_anchor,regional_service_production_index_K,금융 및 보험업,2,24,10757.845463017413,16963.631731554047,606726.34,10,1.7730968236878284,2.795928017820035,1.0228311941322068,False
prior_year_province_anchor,regional_service_production_index_K,금융 및 보험업,3,24,11640.172753680288,13272.726972918343,606726.34,13,1.9185210837690498,2.1875969605866037,0.26907587681755385,False
prior_year_province_anchor,regional_service_production_index_K,금융 및 보험업,4,24,14700.493627207585,9811.74429132717,606726.34,19,2.422919965401137,1.6171614193191564,-0.8057585460819807,True
prior_year_province_anchor,regional_service_production_index_L,부동산업,1,22,22714.515302607662,101063.88542337506,1068251.5,5,2.1263265534949083,9.46068275339422,7.334356199899312,False
prior_year_province_anchor,regional_service_production_index_L,부동산업,2,22,23877.09733486821,113597.93058279458,1068251.5,2,2.2351569209000135,10.634006185134734,8.39884926423472,False
prior_year_province_anchor,regional_service_production_index_L,부동산업,3,22,23908.297748673656,109741.593213168,1068251.5,3,2.2380776201740558,10.273010916733373,8.034933296559316,False
prior_year_province_anchor,regional_service_production_index_L,부동산업,4,22,24510.856976834886,107870.21428957308,1068251.5,3,2.294483740657971,10.097829424023564,7.803345683365593,False
prior_year_province_anchor,regional_service_production_index_M_N,사업서비스업,1,22,26959.60188677027,32798.07544649902,747989.9700000001,10,3.6042731811992432,4.384828241279627,0.7805550600803839,False
prior_year_province_anchor,regional_service_production_index_M_N,사업서비스업,2,22,24008.10726759719,21444.95055494435,747989.9700000001,14,3.2096830479688365,2.8670104433277825,-0.342672604641054,True
prior_year_province_anchor,regional_service_production_index_M_N,사업서비스업,3,22,21591.398330826727,25145.361106340624,747989.9700000001,10,2.8865892855256767,3.3617243699592154,0.4751350844335387,False
prior_year_province_anchor,regional_service_production_index_M_N,사업서비스업,4,22,21848.18527866702,23938.347803753426,747989.9700000001,12,2.920919551724339,3.2003567913822994,0.2794372396579603,False
prior_year_province_anchor,regional_service_production_index_P,교육 서비스업,1,23,9399.695254753662,21673.377050113537,786208.4600000002,4,1.1955728961188816,2.756695984944442,1.5611230888255605,False
prior_year_province_anchor,regional_service_production_index_P,교육 서비스업,2,23,7801.620094452817,18878.64616369558,786208.4600000002,5,0.9923093545003083,2.40122653522395,1.4089171807236416,False
prior_year_province_anchor,regional_service_production_index_P,교육 서비스업,3,23,6144.184533135975,20195.759459056004,786208.4600000002,6,0.7814956014510417,2.5687537703494057,1.787258168898364,False
prior_year_province_anchor,regional_service_production_index_P,교육 서비스업,4,23,5833.181735033515,20811.78401826063,786208.4600000002,6,0.7419383066716826,2.6471076154866897,1.9051693088150072,False
