quarter_region,activity,route_id,year,available_quarters,candidate_cumulative_eok,candidate_annualized_eok,official_annual_eok,candidate_annualized_error_eok,candidate_annualized_ape_pct,track,annualized_predicted_eok,annualized_error_eok,annualized_ape_pct,candidate_abs_error_eok,baseline_abs_error_eok,improves,error_reduction_eok,selected_predicted_eok,selected_error_eok,selected_route_id,selected_abs_error_eok,selected_ape_pct
인천,부동산업,regional_service_production_index_L,2024,4,86475.67555682466,86475.67555682466,85658.06999999999,817.6055568246666,0.9544991579014875,recursive_no_target_actual,89720.39035756057,4062.320357560573,4.74248410869002,817.6055568246666,4062.320357560573,True,3244.7148007359065,86475.67555682466,817.6055568246666,regional_service_production_index_L,817.6055568246666,0.9544991579014875
인천,부동산업,regional_service_production_index_L,2025,1,20308.141739380022,79617.66596399099,83887.46,-4269.794036009014,5.089907402142125,recursive_no_target_actual,89351.73013504401,5464.270135044004,6.513810449194675,4269.794036009014,5464.270135044004,True,1194.4760990349896,79617.66596399099,-4269.794036009014,regional_service_production_index_L,4269.794036009014,5.089907402142125
인천,부동산업,regional_service_production_index_L,2025,2,40173.733174512054,78632.18335955056,83887.46,-5255.276640449447,6.2646748875808695,recursive_no_target_actual,89303.33984206717,5415.8798420671665,6.456125673690878,5255.276640449447,5415.8798420671665,True,160.6032016177196,78632.18335955056,-5255.276640449447,regional_service_production_index_L,5255.276640449447,6.2646748875808695
인천,부동산업,regional_service_production_index_L,2025,3,58990.31648105625,78145.34700380228,83887.46,-5742.112996197728,6.845019501362572,recursive_no_target_actual,89646.52163276276,5759.06163276275,6.865223518226384,5742.112996197728,5759.06163276275,True,16.948636565022753,78145.34700380228,-5742.112996197728,regional_service_production_index_L,5742.112996197728,6.845019501362572
인천,부동산업,regional_service_production_index_L,2025,4,76905.40842709529,76905.40842709529,83887.46,-6982.051572904718,8.323117153511046,recursive_no_target_actual,90054.59868466297,6167.138684662961,7.3516812699573455,6982.051572904718,6167.138684662961,False,-814.9128882417572,90054.59868466297,6167.138684662961,baseline,6167.138684662961,7.3516812699573455
인천,사업서비스업,regional_service_production_index_M_N,2021,1,12148.793360000001,49943.652045220966,52310.71,-2367.057954779033,4.524996802335569,recursive_no_target_actual,48182.94248340852,-4127.767516591477,7.890865019020918,2367.057954779033,4127.767516591477,True,1760.709561812444,49943.652045220966,-2367.057954779033,regional_service_production_index_M_N,2367.057954779033,4.524996802335569
인천,사업서비스업,regional_service_production_index_M_N,2021,2,25442.65948125,50809.10530454318,52310.71,-1501.6046954568155,2.870549253598002,recursive_no_target_actual,49746.086652314094,-2564.623347685905,4.902673558982291,1501.6046954568155,2564.623347685905,True,1063.0186522290896,50809.10530454318,-1501.6046954568155,regional_service_production_index_M_N,1501.6046954568155,2.870549253598002
인천,사업서비스업,regional_service_production_index_M_N,2021,3,37181.18613,50517.91593750001,52310.71,-1792.79406249999,3.427202694247488,recursive_no_target_actual,49649.452894889226,-2661.2571051107734,5.087403908512757,1792.79406249999,2661.2571051107734,True,868.4630426107833,50517.91593750001,-1792.79406249999,regional_service_production_index_M_N,1792.79406249999,3.427202694247488
인천,사업서비스업,regional_service_production_index_M_N,2021,4,50095.40245875,50095.40245875,52310.71,-2215.3075412499966,4.234902453531976,recursive_no_target_actual,49662.42353108639,-2648.2864689136113,5.0626085344924805,2215.3075412499966,2648.2864689136113,True,432.97892766361474,50095.40245875,-2215.3075412499966,regional_service_production_index_M_N,2215.3075412499966,4.234902453531976
인천,사업서비스업,regional_service_production_index_M_N,2022,1,12686.034548343723,52310.71,52130.880000000005,179.82999999999447,0.34495868859300755,recursive_no_target_actual,54001.60470901943,1870.7247090194287,3.5885154998715323,179.82999999999447,1870.7247090194287,True,1690.8947090194342,52310.71,179.82999999999447,regional_service_production_index_M_N,179.82999999999447,0.34495868859300755
인천,사업서비스업,regional_service_production_index_M_N,2022,2,26452.683934726807,52084.093205776175,52130.880000000005,-46.78679422382993,0.08974871366804076,recursive_no_target_actual,54076.783330294595,1945.90333029459,3.732726802798245,46.78679422382993,1945.90333029459,True,1899.11653607076,52084.093205776175,-46.78679422382993,regional_service_production_index_M_N,46.78679422382993,0.08974871366804076
인천,사업서비스업,regional_service_production_index_M_N,2022,3,39209.05436010268,52827.61424901186,52130.880000000005,696.7342490118535,1.3365096637767355,recursive_no_target_actual,53634.33798640231,1503.4579864023035,2.88400653586186,696.7342490118535,1503.4579864023035,True,806.72373739045,52827.61424901186,696.7342490118535,regional_service_production_index_M_N,696.7342490118535,1.3365096637767355
인천,사업서비스업,regional_service_production_index_M_N,2022,4,53026.85711160005,53026.85711160005,52130.880000000005,895.9771116000484,1.7187070534778013,recursive_no_target_actual,53672.264876088666,1541.3848760886613,2.9567597479433707,895.9771116000484,1541.3848760886613,True,645.4077644886129,53026.85711160005,895.9771116000484,regional_service_production_index_M_N,895.9771116000484,1.7187070534778013
인천,사업서비스업,regional_service_production_index_M_N,2023,1,12396.249289762449,51815.572258064516,55648.119999999995,-3832.5477419354793,6.887110906775431,recursive_no_target_actual,54396.0607704424,-1252.0592295575916,2.2499578234765014,3832.5477419354793,1252.0592295575916,False,-2580.4885123778877,54396.0607704424,-1252.0592295575916,baseline,1252.0592295575916,2.2499578234765014
인천,사업서비스업,regional_service_production_index_M_N,2023,2,26313.74215362354,52748.335431472085,55648.119999999995,-2899.78456852791,5.210929980254337,recursive_no_target_actual,54484.54168107946,-1163.5783189205322,2.090957104966946,2899.78456852791,1163.5783189205322,False,-1736.2062496073777,54484.54168107946,-1163.5783189205322,baseline,1163.5783189205322,2.0909571049669466
인천,사업서비스업,regional_service_production_index_M_N,2023,3,38207.10100566743,51671.80180039138,55648.119999999995,-3976.318199608613,7.1454672675529975,recursive_no_target_actual,54663.97187545665,-984.148124543346,1.768519986916622,3976.318199608613,984.148124543346,False,-2992.170075065267,54663.97187545665,-984.148124543346,baseline,984.148124543346,1.7685199869166217
인천,사업서비스업,regional_service_production_index_M_N,2023,4,51577.70051850959,51577.70051850959,55648.119999999995,-4070.419481490404,7.314567826353172,recursive_no_target_actual,54725.19951706701,-922.9204829329828,1.658493553660003,4070.419481490404,922.9204829329828,False,-3147.498998557421,54725.19951706701,-922.9204829329828,baseline,922.9204829329828,1.658493553660003
인천,사업서비스업,regional_service_production_index_M_N,2024,1,13313.49903229738,55394.14784989858,57039.5,-1645.3521501014184,2.8845837535417007,recursive_no_target_actual,55820.04223272007,-1219.4577672799278,2.1379180520164582,1645.3521501014184,1219.4577672799278,False,-425.8943828214906,55820.04223272007,-1219.4577672799278,baseline,1219.4577672799278,2.1379180520164582
인천,사업서비스업,regional_service_production_index_M_N,2024,2,27888.491095673373,54664.37397037745,57039.5,-2375.126029622552,4.164002190802079,recursive_no_target_actual,55380.446297574694,-1659.0537024253065,2.908604918390425,2375.126029622552,1659.0537024253065,False,-716.0723271972454,55380.446297574694,-1659.0537024253065,baseline,1659.0537024253065,2.908604918390425
인천,사업서비스업,regional_service_production_index_M_N,2024,3,41310.50565752589,55767.143619611714,57039.5,-1272.3563803882862,2.2306583690044377,recursive_no_target_actual,55150.33187867446,-1889.168121325543,3.312034855364341,1272.3563803882862,1889.168121325543,True,616.8117409372569,55767.143619611714,-1272.3563803882862,regional_service_production_index_M_N,1272.3563803882862,2.2306583690044377
인천,사업서비스업,regional_service_production_index_M_N,2024,4,56122.87544180377,56122.87544180377,57039.5,-916.6245581962285,1.6069996374376152,recursive_no_target_actual,54508.98530004277,-2530.5146999572316,4.436425108840771,916.6245581962285,2530.5146999572316,True,1613.8901417610032,56122.87544180377,-916.6245581962285,regional_service_production_index_M_N,916.6245581962285,1.6069996374376152
인천,사업서비스업,regional_service_production_index_M_N,2025,1,13289.686525679761,56022.49414161997,58328.31,-2305.815858380025,3.953167609999373,recursive_no_target_actual,53525.52214277201,-4802.787857227988,8.234059682558929,2305.815858380025,4802.787857227988,True,2496.971998847963,56022.49414161997,-2305.815858380025,regional_service_production_index_M_N,2305.815858380025,3.953167609999373
인천,사업서비스업,regional_service_production_index_M_N,2025,2,29302.1044712991,58967.63484922179,58328.31,639.3248492217899,1.0960798439416295,recursive_no_target_actual,53663.73529959153,-4664.57470040847,7.997102436892943,639.3248492217899,4664.57470040847,True,4025.2498511866797,58967.63484922179,639.3248492217899,regional_service_production_index_M_N,639.3248492217899,1.0960798439416295
인천,사업서비스업,regional_service_production_index_M_N,2025,3,43949.710211480364,59708.39796420949,58328.31,1380.087964209495,2.366068833829568,recursive_no_target_actual,54262.03511985832,-4066.274880141674,6.971357270837565,1380.087964209495,4066.274880141674,True,2686.186915932179,59708.39796420949,1380.087964209495,regional_service_production_index_M_N,1380.087964209495,2.366068833829568
인천,사업서비스업,regional_service_production_index_M_N,2025,4,60017.27208459215,60017.27208459215,58328.31,1688.9620845921527,2.8956129272254807,recursive_no_target_actual,54479.08719188487,-3849.222808115126,6.599235959545418,1688.9620845921527,3849.222808115126,True,2160.2607235229734,60017.27208459215,1688.9620845921527,regional_service_production_index_M_N,1688.9620845921527,2.8956129272254807
인천,서비스업,regional_service_production_index_T,2021,1,131450.60543999998,501719.868091603,560661.29,-58941.42190839705,10.512839562795042,recursive_no_target_actual,553652.209611491,-7009.080388509086,1.2501452326963909,58941.42190839705,7009.080388509086,False,-51932.34151988797,553652.209611491,-7009.080388509086,baseline,7009.080388509086,1.2501452326963907
