track,activity,available_quarters,rows,adopted_rows,official_sum_eok,baseline_abs_error_sum_eok,selected_abs_error_sum_eok,max_selected_ape_pct,baseline_wape_pct,selected_wape_pct,delta_wape_pp
prior_year_province_anchor,문화 및 기타서비스업,2,25,3,461528.81999999995,17179.10998316204,26697.89999644539,26.524381037057328,3.7222182534910915,5.784665840899252,2.0624475874081605
prior_year_province_anchor,문화 및 기타서비스업,3,25,4,461528.81999999995,16414.241635171755,37451.50214629983,51.59387172791904,3.556493316099254,8.114661646980101,4.558168330880847
prior_year_province_anchor,문화 및 기타서비스업,4,25,2,461528.81999999995,15857.285386007889,19524.488440599915,29.65180984844925,3.4358169411842776,4.230394201731523,0.794577260547245
prior_year_province_anchor,보건 및 사회복지업,1,24,5,911574.23,22164.074048830702,22598.728801004643,19.280371819375862,2.4314063868205995,2.4790881595023415,0.04768177268174201
prior_year_province_anchor,보건 및 사회복지업,2,24,8,911574.23,16418.060212910612,18121.572305867587,17.370167141078692,1.801066734072837,1.9879425843211458,0.18687585024830877
prior_year_province_anchor,보건 및 사회복지업,3,24,7,911574.23,13649.386562641022,14186.362682190244,16.450185625742584,1.497342302298412,1.5562487634375364,0.058906461139124344
prior_year_province_anchor,보건 및 사회복지업,4,24,8,911574.23,12355.736324037349,13839.616718178822,15.865935686726363,1.3554284354920114,1.518210614420158,0.1627821789281465
prior_year_province_anchor,부동산업,1,22,2,1068251.5,22714.515302607662,52420.82788652898,30.10246038870968,2.1263265534949083,4.907161645598343,2.780835092103435
prior_year_province_anchor,부동산업,2,22,0,1068251.5,23877.09733486821,23877.09733486821,7.952713283975885,2.2351569209000135,2.2351569209000135,0.0
prior_year_province_anchor,부동산업,3,22,1,1068251.5,23908.297748673656,24959.78362477511,10.353265029163811,2.2380776201740558,2.336508174786098,0.09843055461204209
prior_year_province_anchor,부동산업,4,22,1,1068251.5,24510.856976834886,25659.858861485864,11.433336259305783,2.294483740657971,2.402042858024151,0.10755911736618007
prior_year_province_anchor,사업서비스업,1,22,9,747989.9700000001,26959.60188677027,31394.77169471187,20.439728951149604,3.6042731811992432,4.197218272153017,0.5929450909537737
prior_year_province_anchor,사업서비스업,2,22,10,747989.9700000001,24008.10726759719,25180.343239701404,17.85864595047189,3.2096830479688365,3.3664011884679956,0.1567181404991591
prior_year_province_anchor,사업서비스업,3,22,8,747989.9700000001,21591.398330826727,22778.590308315324,18.01820880688812,2.8865892855256767,3.045306918796695,0.15871763327101807
prior_year_province_anchor,사업서비스업,4,22,9,747989.9700000001,21848.18527866702,22892.099762166516,17.996791531845655,2.920919551724339,3.0604821829584847,0.13956263123414558
