quarter_region,province_full,city,activity,year,predicted_eok,actual_eok,table_id,table_name,latest_change_date,abs_error_eok,ape_pct
경기도,경기도,하남시,건설업,2022,10821.086110967008,6114.31,210_DT_GRDP008_2020,경기도 경제활동별 지역내총부가가치 및 요소소득,2026-05-13,4706.776110967007,76.97967736289144
서울,서울특별시,노원구,금융 및 보험업,2023,2656.0368383187033,11245.04,201_DT_201012_D040031,서울특별시 경제활동별 지역내총부가가치 및 요소소득,2026-06-19,8589.003161681298,76.38037002697453
인천,인천광역시,옹진군,도매 및 소매업,2022,261.04478103942415,148.02,204_DT_2020Y23GRDP2,인천광역시 경제활동별 지역내총부가가치 및 요소소득,2025-06-17,113.02478103942414,76.35777667843814
경북,경상북도,울릉군,사업서비스업,2022,40.363942614923445,169.06,216_DT_GRDP202037_02,경상북도 경제활동별 지역내총부가가치 및 요소소득,2025-09-09,128.69605738507656,76.12448680058947
경북,경상북도,울릉군,부동산업,2022,278.5817585384827,158.31,216_DT_GRDP202037_02,경상북도 경제활동별 지역내총부가가치 및 요소소득,2025-09-09,120.27175853848269,75.97230657474745
서울,서울특별시,강북구,건설업,2023,4572.978007374455,2624.08,201_DT_201012_D040031,서울특별시 경제활동별 지역내총부가가치 및 요소소득,2026-06-19,1948.8980073744551,74.26976339800827
경기도,경기도,김포시,정보통신업,2021,863.5464942896691,3328.43,210_DT_GRDP008_2020,경기도 경제활동별 지역내총부가가치 및 요소소득,2026-05-13,2464.8835057103306,74.05544072461583
경북,경상북도,김천시,정보통신업,2021,82.93598095200285,311.04,216_DT_GRDP202037_02,경상북도 경제활동별 지역내총부가가치 및 요소소득,2025-09-09,228.10401904799716,73.33591147376451
서울,서울특별시,금천구,건설업,2023,8061.246005225068,4655.45,201_DT_201012_D040031,서울특별시 경제활동별 지역내총부가가치 및 요소소득,2026-06-19,3405.7960052250683,73.1571814803095
제주,제주특별자치도,서귀포시,운수 및 창고업,2023,1938.3973428534098,1122.48,218_DT_2020GRDP39_02,제주특별자치도 경제활동별 지역내총부가가치 및 요소소득,2026-02-27,815.9173428534098,72.68880896349242
충남,충청남도,서천군,금융 및 보험업,2021,502.7730266771093,291.45,213_DT_2020Y34GRDP2,충청남도 경제활동별 지역내총부가가치 및 요소소득,2025-06-12,211.32302667710934,72.50747183980421
경북,경상북도,군위군,운수 및 창고업,2022,298.0805311776055,173.04,216_DT_GRDP202037_02,경상북도 경제활동별 지역내총부가가치 및 요소소득,2026-03-27,125.04053117760552,72.26105592788113
경북,경상북도,울릉군,사업서비스업,2021,67.6296606668976,39.34,216_DT_GRDP202037_02,경상북도 경제활동별 지역내총부가가치 및 요소소득,2025-09-09,28.289660666897603,71.91067785179868
강원,강원특별자치도,고성군,건설업,2022,1616.8706539284358,943.12,211_DT_2020Y32GRDP2,강원특별자치도 경제활동별 지역내총부가가치 및 요소소득,2025-03-19,673.7506539284358,71.43848650526293
경기도,경기도,구리시,정보통신업,2021,342.1940973910732,1192.57,210_DT_GRDP008_2020,경기도 경제활동별 지역내총부가가치 및 요소소득,2026-05-13,850.3759026089267,71.30616254047366
충남,충청남도,태안군,금융 및 보험업,2021,663.4144370734646,387.95,213_DT_2020Y34GRDP2,충청남도 경제활동별 지역내총부가가치 및 요소소득,2025-06-12,275.4644370734646,71.00513908324902
경기도,경기도,이천시,건설업,2023,16769.57777395456,9842.02,210_DT_GRDP008_2020,경기도 경제활동별 지역내총부가가치 및 요소소득,2026-05-13,6927.557773954559,70.38756041904567
경북,경상북도,울진군,사업서비스업,2021,2271.1238346936093,1333.67,216_DT_GRDP202037_02,경상북도 경제활동별 지역내총부가가치 및 요소소득,2025-09-09,937.4538346936092,70.29128905153517
인천,인천광역시,강화군,숙박 및 음식점업,2022,914.6882311451176,540.09,204_DT_2020Y23GRDP2,인천광역시 경제활동별 지역내총부가가치 및 요소소득,2025-06-17,374.59823114511755,69.35848305747515
전남,전라남도,신안군,운수 및 창고업,2023,771.7524415423692,455.76,215_DT_2020Y36GRDP2,전라남도 경제활동별 지역내총부가가치 및 요소소득,2026-06-24,315.9924415423692,69.33307915182753
경북,경상북도,성주군,정보통신업,2023,95.58058286087338,308.24,216_DT_GRDP202037_02,경상북도 경제활동별 지역내총부가가치 및 요소소득,2026-06-22,212.65941713912662,68.99150569008779
전북,전북특별자치도,진안군,운수 및 창고업,2023,91.72583167847296,295.63,214_DT_2020Y35GRDP2,전북특별자치도 경제활동별 지역내총부가가치 및 요소소득,2026-06-24,203.90416832152704,68.97275930099347
경기도,경기도,의왕시,정보통신업,2022,1979.2397392492098,6222.2,210_DT_GRDP008_2020,경기도 경제활동별 지역내총부가가치 및 요소소득,2026-05-13,4242.9602607507895,68.1906763001959
전북,전북특별자치도,진안군,금융 및 보험업,2022,117.99106936407127,70.19,214_DT_2020Y35GRDP2,전북특별자치도 경제활동별 지역내총부가가치 및 요소소득,2025-07-31,47.80106936407127,68.10239259733761
경기도,경기도,동두천시,정보통신업,2023,131.35952203833943,78.64,210_DT_GRDP008_2020,경기도 경제활동별 지역내총부가가치 및 요소소득,2026-05-13,52.719522038339434,67.03906668150996
경북,경상북도,고령군,정보통신업,2023,8.62193295661871,5.17,216_DT_GRDP202037_02,경상북도 경제활동별 지역내총부가가치 및 요소소득,2026-06-22,3.4519329566187107,66.76852914156115
경기도,경기도,가평군,정보통신업,2023,125.64280562145092,373.84,210_DT_GRDP008_2020,경기도 경제활동별 지역내총부가가치 및 요소소득,2026-05-13,248.19719437854906,66.39128888790634
충남,충청남도,서산시,건설업,2022,14999.489905381106,9017.69,213_DT_2020Y34GRDP2,충청남도 경제활동별 지역내총부가가치 및 요소소득,2025-06-12,5981.799905381105,66.33406011274623
부산,부산광역시,중구,건설업,2021,2414.1998439432323,1454.49,202_DT_F10108,부산광역시 경제활동별 지역내총부가가치 및 요소소득,2025-03-31,959.7098439432323,65.98256735647769
충북,충청북도,단양군,금융 및 보험업,2023,705.3668895272458,425.06,212_DT_2020Y33GRDP2,충청북도 경제활동별 지역내총부가가치 및 요소소득,2026-02-19,280.3068895272458,65.94525232372978
전남,전라남도,무안군,건설업,2021,3013.075478148346,1816.18,215_DT_2020Y36GRDP2,전라남도 경제활동별 지역내총부가가치 및 요소소득,2025-05-20,1196.895478148346,65.9018091900773
경기도,경기도,가평군,정보통신업,2021,212.30869357738152,128.05,210_DT_GRDP008_2020,경기도 경제활동별 지역내총부가가치 및 요소소득,2026-05-13,84.25869357738151,65.80140068518665
인천,인천광역시,옹진군,정보통신업,2023,42.98470923299763,124.69,204_DT_2020Y23GRDP2,인천광역시 경제활동별 지역내총부가가치 및 요소소득,2026-06-01,81.70529076700237,65.52673892613872
서울,서울특별시,영등포구,건설업,2021,12196.400294319801,7375.23,201_DT_201012_D040031,서울특별시 경제활동별 지역내총부가가치 및 요소소득,2025-10-29,4821.1702943198015,65.36976195074325
인천,인천광역시,동구,숙박 및 음식점업,2022,422.1427879760446,255.77,204_DT_2020Y23GRDP2,인천광역시 경제활동별 지역내총부가가치 및 요소소득,2025-06-17,166.37278797604458,65.04781169646346
부산,부산광역시,강서구,건설업,2022,6987.567593452697,4238.31,202_DT_F10108,부산광역시 경제활동별 지역내총부가가치 및 요소소득,2025-03-31,2749.2575934526967,64.86683591933333
부산,부산광역시,부산진구,"광업, 제조업",2021,2524.9249479632244,1534.48,202_DT_F10108,부산광역시 경제활동별 지역내총부가가치 및 요소소득,2025-03-31,990.4449479632244,64.54596657911634
서울,서울특별시,은평구,정보통신업,2022,1935.65776410994,5397.1,201_DT_201012_D040031,서울특별시 경제활동별 지역내총부가가치 및 요소소득,2025-10-29,3461.44223589006,64.13522513738971
강원,강원특별자치도,인제군,건설업,2021,2115.9497050211157,1294.75,211_DT_2020Y32GRDP2,강원특별자치도 경제활동별 지역내총부가가치 및 요소소득,2025-03-19,821.1997050211157,63.42534891068667
