track,activity,available_quarters,rows,official_sum_eok,baseline_abs_error_sum_eok,selected_abs_error_sum_eok,adopted_rows,max_selected_ape_pct,baseline_wape_pct,selected_wape_pct,delta_wape_pp
recursive_no_target_actual,금융 및 보험업,2,24,606726.34,13437.936481693152,8066.828356673948,11,4.475505279325001,2.214826618816838,1.3295662022311325,-0.8852604165857056
recursive_no_target_actual,금융 및 보험업,3,24,606726.34,12007.761034114697,7087.022552717476,13,4.434097235469523,1.979106599214845,1.1680756356675526,-0.8110309635472925
recursive_no_target_actual,금융 및 보험업,4,24,606726.34,14341.458214554055,6709.424676988537,16,4.534393886222738,2.363744124666494,1.105840349207278,-1.2579037754592162
recursive_no_target_actual,도매 및 소매업,1,21,801209.8499999999,34392.11613365526,17061.080626748255,12,7.631530551760822,4.292522880697893,2.129414737817846,-2.163108142880047
recursive_no_target_actual,도매 및 소매업,2,21,801209.8499999999,28603.51742105668,12435.763813857026,11,5.2894118884563035,3.5700406605156796,1.552123181443292,-2.0179174790723877
recursive_no_target_actual,도매 및 소매업,3,21,801209.8499999999,26354.04435838229,10445.032383097154,13,4.304443945466576,3.289281123838192,1.3036575103385406,-1.9856236134996514
recursive_no_target_actual,도매 및 소매업,4,21,801209.8499999999,26514.82724647894,9580.567329264686,14,3.857928950496134,3.3093486365000313,1.195762549507434,-2.1135860869925973
recursive_no_target_actual,문화 및 기타서비스업,1,25,461528.81999999995,20465.874894503853,17664.563368248902,4,8.262336701919358,4.434365527705043,3.827402017548742,-0.6069635101563007
recursive_no_target_actual,문화 및 기타서비스업,2,25,461528.81999999995,18072.479995359674,12681.350286843655,6,6.967155793396515,3.9157857997599534,2.747683294586816,-1.1681025051731373
recursive_no_target_actual,문화 및 기타서비스업,3,25,461528.81999999995,17973.25356322481,14388.200076592211,8,7.051450532578488,3.8942862903393145,3.1175084746803488,-0.7767778156589658
recursive_no_target_actual,문화 및 기타서비스업,4,25,461528.81999999995,17300.973994763008,13859.105256935822,8,11.481759714898677,3.748622674259651,3.002868868933434,-0.7457538053262169
recursive_no_target_actual,보건 및 사회복지업,1,24,911574.23,27006.240057351308,17142.644666520286,11,7.0006193080102115,2.9625936285354744,1.880553892634754,-1.0820397359007203
recursive_no_target_actual,보건 및 사회복지업,2,24,911574.23,22355.5026233666,10851.820461347563,12,16.278442382801327,2.4524061659099994,1.1904483589172505,-1.2619578069927488
recursive_no_target_actual,보건 및 사회복지업,3,24,911574.23,19461.603299124246,8399.512372608278,11,14.936126542256417,2.134944435531514,0.9214293357775458,-1.213515099753968
recursive_no_target_actual,보건 및 사회복지업,4,24,911574.23,18477.903261589923,7260.359786928519,12,8.62152948647572,2.0270322101569196,0.7964639135233691,-1.2305682966335505
recursive_no_target_actual,부동산업,1,22,1068251.5,26949.16233777294,19189.644793393018,6,8.761333360568644,2.522735735711388,1.7963602010755912,-0.726375534635797
recursive_no_target_actual,부동산업,2,22,1068251.5,27095.697271636476,23058.082861002906,3,7.952713283975885,2.5364530048997334,2.1584882268831738,-0.3779647780165596
recursive_no_target_actual,부동산업,3,22,1068251.5,27015.13412336752,22960.680057522284,4,8.005646302150023,2.528911414902532,2.1493702613590795,-0.3795411535434523
recursive_no_target_actual,부동산업,4,22,1068251.5,27498.505898807147,23135.09764964495,3,7.3516812699573455,2.574160288921396,2.165697651690164,-0.40846263723123233
recursive_no_target_actual,사업서비스업,1,22,747989.9700000001,30793.385541768555,19781.826109536407,11,11.918916308328969,4.1168179757502035,2.644664621577266,-1.4721533541729377
recursive_no_target_actual,사업서비스업,2,22,747989.9700000001,28067.36694932524,13643.796955191454,13,12.547141359505396,3.7523721005677704,1.8240614851013914,-1.928310615466379
recursive_no_target_actual,사업서비스업,3,22,747989.9700000001,26312.212848533753,15464.288299930384,12,14.464460941460535,3.517722683973122,2.0674459444864457,-1.4502767394866765
recursive_no_target_actual,사업서비스업,4,22,747989.9700000001,27065.28238588423,15269.39487944041,14,15.331337582461021,3.618401779623359,2.041390324985295,-1.5770114546380642
recursive_no_target_actual,서비스업,1,21,7992596.220000001,288641.1670794348,126246.85486986148,13,3.7758084372508085,3.611356799898929,1.5795475136596036,-2.0318092862393256
recursive_no_target_actual,서비스업,2,21,7992596.220000001,243107.76851970406,94353.56503804297,11,3.1819250795397775,3.0416620811066575,1.1805120944548724,-1.861149986651785
recursive_no_target_actual,서비스업,3,21,7992596.220000001,226583.82444037695,78937.51362706796,10,2.187154469547459,2.8349214473438886,0.9876329474713282,-1.8472884998725605
recursive_no_target_actual,서비스업,4,21,7992596.220000001,220740.228227415,83567.90494894795,9,2.9524337265622305,2.761808830966004,1.0455664548627472,-1.7162423761032566
recursive_no_target_actual,숙박 및 음식점업,1,19,261051.91,23755.653389112143,17530.240247567082,10,20.469472486445987,9.099973024182104,6.715231559718174,-2.3847414644639295
