quarter_region,province_full,city,year,predicted_eok,actual_eok,abs_error_eok,ape_pct
부산,부산광역시,동래구,2022,42110.59010207563,41503.54,607.0501020756274,1.4626465647885154
부산,부산광역시,부산진구,2021,112307.71038022013,110716.92,1590.7903802201326,1.4368087372915834
부산,부산광역시,부산진구,2022,114726.89776393458,116341.15000000001,1614.2522360654257,1.3875161420232014
부산,부산광역시,북구,2021,31407.393211211634,31804.86,397.4667887883661,1.2497045696423947
부산,부산광역시,북구,2022,32882.81303688024,30747.9,2134.913036880236,6.943280799274865
부산,부산광역시,사상구,2021,64381.54444784559,64612.47,230.92555215441098,0.35740090442976563
부산,부산광역시,사상구,2022,66688.46864349986,64500.06,2188.408643499861,3.3928784616632313
부산,부산광역시,사하구,2021,64805.31190638877,63370.05,1435.2619063887687,2.2648899699286473
부산,부산광역시,사하구,2022,65557.33036509233,63450.21,2107.1203650923344,3.3209036898259825
부산,부산광역시,서구,2021,28013.93676650952,29607.68,1593.7432334904806,5.382871043899693
부산,부산광역시,서구,2022,30900.043098520444,30201.0,699.0430985204439,2.314635603193417
부산,부산광역시,수영구,2021,27545.589173808068,27306.91,238.6791738080683,0.874061451142104
부산,부산광역시,수영구,2022,28333.402106064248,27468.04,865.3621060642472,3.150432670347965
부산,부산광역시,연제구,2021,66915.18159072567,63142.66,3772.5215907256643,5.974600358498777
부산,부산광역시,연제구,2022,65007.60063470568,66160.59,1152.9893652943138,1.7427132455957752
부산,부산광역시,영도구,2021,28898.20861617516,28646.19,252.0186161751626,0.8797631244335201
부산,부산광역시,영도구,2022,29535.70394875266,32856.05,3320.346051247343,10.105737151140636
부산,부산광역시,중구,2021,37821.11562905984,39015.98,1194.8643709401658,3.0624999575562772
부산,부산광역시,중구,2022,41385.60423006187,39955.11,1430.4942300618713,3.580253514661507
부산,부산광역시,해운대구,2021,94260.88996216441,94841.01,580.1200378355861,0.6116763600847208
부산,부산광역시,해운대구,2022,98087.994730385,97438.04000000001,649.9547303849977,0.6670441342877973
서울,서울특별시,강남구,2021,784044.9758549083,784710.44,665.4641450915951,0.0848037838124844
서울,서울특별시,강남구,2022,806353.2487874753,788480.1599999999,17873.088787475368,2.266777237296037
서울,서울특별시,강남구,2023,801081.3492744833,788892.81,12188.53927448322,1.5450184258217818
서울,서울특별시,강동구,2021,93257.92525498352,89284.51,3973.415254983527,4.450285111027128
서울,서울특별시,강동구,2022,91993.17729699422,91393.01,600.1672969942301,0.6566884020935848
서울,서울특별시,강동구,2023,92922.20715024516,97351.04,4428.8328497548355,4.5493431295185305
서울,서울특별시,강북구,2021,33467.20274034367,33217.75,249.4527403436732,0.7509621823984864
서울,서울특별시,강북구,2022,34426.85014802412,36649.25,2222.3998519758825,6.0639708915622625
서울,서울특별시,강북구,2023,37386.70561153931,34161.85,3224.855611539315,9.439932590124114
서울,서울특별시,강서구,2021,161389.05353802885,164805.58,3416.526461971138,2.073064796696288
서울,서울특별시,강서구,2022,170922.39220649333,184745.89,13823.497793506685,7.482438604456469
서울,서울특별시,강서구,2023,190558.23203607652,185465.4,5092.832036076521,2.7459742011590955
서울,서울특별시,관악구,2021,55316.974366928014,55031.84,285.1343669280177,0.5181261737350917
서울,서울특별시,관악구,2022,56896.499476514065,58477.35,1580.850523485933,2.703355270862878
서울,서울특별시,관악구,2023,59520.67102047474,56682.66,2838.01102047474,5.006841634592907
서울,서울특별시,광진구,2021,70287.2100210318,67724.91,2562.3000210317987,3.7833937631394394
서울,서울특별시,광진구,2022,70065.8738698671,72271.96,2206.0861301329132,3.0524786239821267
서울,서울특별시,광진구,2023,73472.128823238,70831.17,2640.9588232380047,3.728526329916624
서울,서울특별시,구로구,2021,148525.1029101435,142858.78,5666.322910143499,3.9663805823789753
서울,서울특별시,구로구,2022,147217.6229157938,153227.0,6009.377084206208,3.9218787055846605
서울,서울특별시,구로구,2023,156846.5326693013,152880.58,3965.952669301303,2.5941507216294597
서울,서울특별시,금천구,2021,182089.139266118,176931.33,5157.809266118013,2.9151475129464144
서울,서울특별시,금천구,2022,182040.845112105,189691.44,7650.594887895015,4.033178770689397
서울,서울특별시,금천구,2023,194039.08639193588,182889.76,11149.326391935872,6.096200460832729
서울,서울특별시,노원구,2021,66314.28094266978,66369.8,55.519057330224314,0.08365108427360683
서울,서울특별시,노원구,2022,68678.68597971865,66744.98,1933.705979718652,2.897155680799743
서울,서울특별시,노원구,2023,68030.45336985069,76923.85,8893.39663014932,11.561299428134863
서울,서울특별시,도봉구,2021,35353.49779894714,33834.520000000004,1518.9777989471331,4.489432091683679
서울,서울특별시,도봉구,2022,34995.91990700368,32814.93,2180.989907003677,6.646334174729848
서울,서울특별시,도봉구,2023,33564.724209510954,34462.5,897.7757904890459,2.605080277081018
서울,서울특별시,동대문구,2021,81890.3544440132,81123.59,766.764444013199,0.9451806114758963
서울,서울특별시,동대문구,2022,83768.74775076653,80261.58,3507.16775076653,4.369671953587918
서울,서울특별시,동대문구,2023,81358.44070947362,82633.18000000001,1274.7392905263841,1.542648232255353
서울,서울특별시,동작구,2021,67717.75330361056,64869.12,2848.633303610557,4.391354936849084
서울,서울특별시,동작구,2022,66787.64822104557,67613.18,825.5317789544206,1.220962804817671
서울,서울특별시,동작구,2023,68844.86168394667,64614.25,4230.61168394667,6.547490195965549
서울,서울특별시,마포구,2021,203633.31050204573,203661.5,28.189497954270337,0.013841348489660704
서울,서울특별시,마포구,2022,210576.11045159504,205128.78,5447.330451595044,2.65556615292844
서울,서울특별시,마포구,2023,211655.58060468078,214009.4,2353.8193953192094,1.099867293361511
서울,서울특별시,서대문구,2021,77875.543006281,78790.63,915.086993719,1.1614160131972546
서울,서울특별시,서대문구,2022,81469.39819034393,76422.37,5047.028190343932,6.604124146298959
서울,서울특별시,서대문구,2023,77988.93690289403,78524.8,535.8630971059756,0.682412558969874
서울,서울특별시,서초구,2021,355812.94101015537,359349.97000000003,3537.0289898446645,0.9842853165800081
서울,서울특별시,서초구,2022,369649.5543954278,352542.04,17107.514395427832,4.852616838385525
서울,서울특별시,서초구,2023,360360.2888296819,370469.83,10109.541170318145,2.7288433096746756
서울,서울특별시,성동구,2021,129740.94931649888,141063.16,11322.210683501122,8.02634130945395
서울,서울특별시,성동구,2022,145436.5914577346,148112.21,2675.61854226538,1.8064807366424283
서울,서울특별시,성동구,2023,150235.68069207115,152680.38,2444.6993079288513,1.601187597207219
서울,서울특별시,성북구,2021,59592.52589007451,58145.63,1446.8958900745129,2.4884000570197844
서울,서울특별시,성북구,2022,60052.59484499856,58234.92,1817.6748449985607,3.1212798867046794
